digicap.dav,2017-02-08
1001_digicap.dav,2016-06-13
1002_digicap.dav,2015-11-27
1003_digicap.dav,2018-11-08
1004_digicap.dav,2016-04-01
1005_digicap.dav,2015-09-08
1006_digicap.dav,2019-06-19
1007_digicap.dav,2016-06-30
1008_digicap.dav,2018-11-12
1009_digicap.dav,2016-06-03
1010_digicap.dav,2017-02-06
1011_digicap.dav,2018-06-22
1012_digicap.dav,2016-06-16
1013_digicap.dav,2018-09-10
1014_digicap.dav,2018-11-08
1015_digicap.dav,2019-06-19
1016_digicap.dav,2017-02-17
1017_digicap.dav,2017-12-01
1018_digicap.dav,2016-02-16
1019_digicap.dav,2017-06-15
1020_digicap.dav,2015-08-11
1021_digicap.dav,2015-12-29
1022_digicap.dav,2018-06-12
1023_digicap.dav,2017-01-23
1024_digicap.dav,2016-08-22
1025_digicap.dav,2016-05-30
1026_digicap.dav,2018-07-25
1027_digicap.dav,2018-10-31
1028_digicap.dav,2019-06-25
1029_digicap.dav,2016-04-21
1030_digicap.dav,2018-11-13
1031_digicap.dav,2015-06-10
1032_digicap.dav,2017-05-18
1033_digicap.dav,2017-06-01
1034_digicap.dav,2019-02-25
1035_digicap.dav,2018-11-23
1036_digicap.dav,2018-11-08
1037_digicap.dav,2019-06-19
1038_digicap.dav,2017-01-22
1039_digicap.dav,2017-01-23
1040_digicap.dav,2017-01-23
1041_digicap.dav,2018-03-07
1042_digicap.dav,2018-05-30
1043_digicap.dav,2016-09-02
1044_digicap.dav,2017-01-23
1045_digicap.dav,2019-03-13
1046_digicap.dav,2019-04-12
1047_digicap.dav,2018-10-29
1048_digicap.dav,2017-03-10
1049_digicap.dav,2016-04-14
1050_digicap.dav,2017-06-16
1051_digicap.dav,2017-02-16
1052_digicap.dav,2017-01-24
1053_digicap.dav,2018-07-23
1054_digicap.dav,2018-05-11
1055_digicap.dav,2017-03-12
1056_digicap.dav,2015-05-11
1057_digicap.dav,2013-11-14
1058_digicap.dav,2019-04-12
1059_digicap.dav,2016-04-01
1060_digicap.dav,2017-06-16
digicap_eng_std.dav,2016-01-21
1061_digicap.dav,2015-12-10
1062_digicap.dav,2016-12-17
1063_digicap.dav,2016-07-21
1064_digicap.dav,2017-07-25
1065_digicap.dav,2014-09-04
1066_digicap.dav,2015-05-22
1067_digicap.dav,2015-09-17
1068_digicap.dav,2017-05-18
1069_digicap.dav,2018-01-22
1070_digicap.dav,2015-05-19
1071_digicap.dav,2018-07-18
1072_digicap.dav,2018-02-09
1073_digicap.dav,2016-05-25
1074_digicap.dav,2017-03-09
1075_digicap.dav,2017-09-07
1076_digicap.dav,2018-02-28
1077_digicap.dav,2017-09-27
1078_digicap.dav,2017-01-23
1079_digicap.dav,2016-10-28
1080_digicap.dav,2019-03-05
1081_digicap.dav,2016-11-25
1082_digicap.dav,2017-09-14
1083_digicap.dav,2017-02-10
1084_digicap.dav,2019-06-19
1085_digicap.dav,2015-10-16
1086_digicap.dav,2019-08-08
1087_digicap.dav,2017-10-18
1088_digicap.dav,2018-03-10
1089_digicap.dav,2016-04-19
1090_digicap.dav,2015-08-12
1091_digicap.dav,2017-03-23
1092_digicap.dav,2019-08-08
1093_digicap.dav,2015-08-20
1094_digicap.dav,2018-07-19
1095_digicap.dav,2016-06-13
1096_digicap.dav,2018-11-07
1097_digicap.dav,2015-08-12
1098_digicap.dav,2018-11-08
1099_digicap.dav,2017-01-23
1100_digicap.dav,2018-01-29
1101_digicap.dav,2015-05-13
1102_digicap.dav,2014-10-09
1103_digicap.dav,2018-11-08
1104_digicap.dav,2015-08-12
1105_digicap.dav,2017-07-25
1106_digicap.dav,2017-03-09
1107_digicap.dav,2018-06-14
1108_digicap.dav,2016-04-19
1109_digicap.dav,2015-12-24
1110_digicap.dav,2018-02-28
1111_digicap.dav,2018-11-08
1112_digicap.dav,2016-04-27
1001_digicap_eng_std.dav,2016-01-20
1113_digicap.dav,2017-12-21
1114_digicap.dav,2017-03-02
1115_digicap.dav,2015-11-05
1116_digicap.dav,2019-05-09
1117_digicap.dav,2018-11-23
1118_digicap.dav,2015-09-10
1119_digicap.dav,2017-03-09
1120_digicap.dav,2019-02-18
1121_digicap.dav,2017-07-31
1122_digicap.dav,2015-09-18
1123_digicap.dav,2018-12-11
1124_digicap.dav,2019-06-19
1125_digicap.dav,2017-07-18
1126_digicap.dav,2015-04-10
1127_digicap.dav,2015-08-14
1128_digicap.dav,2019-04-28
1129_digicap.dav,2017-02-28
1130_digicap.dav,2017-05-04
1131_digicap.dav,2018-07-30
1132_digicap.dav,2019-02-18
1133_digicap.dav,2018-10-29
1134_digicap.dav,2017-07-24
1135_digicap.dav,2017-02-24
1136_digicap.dav,2018-02-07
