CAP1750v1_1.1.0_[20170601-rel60196]_up_signed.bin,2017-06-01
M3W 1.0_en_1.0.2 Build 20190319 Rel. 79942_US_EU_UK_JP_AU_RU_up.bin,2019-03-20
re380d_eu-up-ver1-0-0-P1[20160316-rel62610].bin,2016-03-16
TD-VG5612v1_0.9.1_2.8_up_boot(160202)_2016-02-02_15.42.42.bin,2016-01-02
NC250_1.3.0_Build_171205_Rel.2310A2.bin,2017-12-05
TL-EAP120v1_eu_2.1.0_[20171109-rel72976]_up_signed.bin,2017-11-10
M4R 2.0_en_1.1.5 Build 20190625 Rel. 70786_US_EU_AU_JP_up.bin,2019-06-25
855rev4-up-ver1-0-0-P1[20190408-rel66967].bin,2019-04-08
M3W 1.0_en_1.0.4 Build 20190714 Rel. 69522_US_EU_UK_JP_AU_RU_up.bin,2019-07-15
NC450_1.4.1_Build_180716_Rel.733019.bin,2018-07-16
TD-VG3631v1_0.6.0_1.0_up_boot(140415)_2014-04-15_11.00.58.bin,2014-04-15
855rev4-up-ver1-0-0-P1[20181018-rel53612].bin,2018-10-18
re450v3_un-up-ver1-0-1-P1[20190124-rel56886].bin,2019-01-24
EAP110v4_3.1.0_[20180418-rel74719]_up_signed.bin,2018-04-18
NC210_1.0.8_Build_170830_Rel.418F33.bin,2017-08-30
ap200v1_eu-up-ver1-0-0-P1[20161110-rel52338].bin,2016-11-10
wa5210gv2_en_4_4_9_up(140523).bin,2014-05-28
NC230_1.0.5_Build_160321_Rel.27531.bin,2016-03-21
wa5110gv1-en-up.bin,2012-07-27
P7 1.0_en_1.1.2 Build 20180710 rel. 65969_up.bin,2018-07-10
re350v1_en-up-ver1-0-0-P1[20171121-rel63631].bin,2017-11-21
re350v1_en-up-ver1-0-0-P1[20171214-rel50596].bin,2017-12-14
TL-EAP330v1_1.4.0_[20180925-rel37155]_up_signed.bin,2018-09-25
E4R 1.0_en_1.0.0 Build 20181227 Rel. 54907_US_EU_up.bin,2018-12-27
820re-up-ver1-0-0-P1[20180315-rel61823].bin,2018-03-15
TL-WPA4230P_update_20141030.bin,2014-10-30
EAP225-OUTDOORv1_1.3.0_[20180614-rel50359]_up_signed.bin,2018-06-14
860rev5-up-ver1-0-0-P1[20190408-rel33735].bin,2019-04-08
NC200_2.1.6_Build_160108_Rel.25912_upgrade.bin,2016-01-08
TL-EAP220v1_eu_2.1.0_[20171109-rel72971]_up_signed.bin,2017-11-10
wa701ndv2_eu_3_16_9_up_boot(160620).bin,2016-06-21
re500v1_en-up-ver1-0-3-P1[20180416-rel34147].bin,2018-04-16
WBS510(UN)_2.0-up-ver2-2-1-P1[20190718-rel40798].bin,2019-07-18
CAP300v1_1.1.0_[20170601-rel60253]_up_signed.bin,2017-06-01
re365v1-up-ver1-0-2-P1[20180213-rel56309].bin,2018-02-13
re305v3_eu-up-ver1-0-1-P1[20190221-rel63495].bin,2019-02-21
wa890eav1_en_3_15_1_up_boot(131008).bin,2013-10-12
wa7210nv2_en_3_16_5_up_boot(130320).bin,2013-03-20
NC210_1.0.9_Build_171214_Rel.C9342E_web.bin,2017-12-14
M4R 2.0_en_1.1.6 Build 20190801 Rel. 59376_US_EU_AU_JP_up.bin,2019-08-01
NC200_2.1.8_Build_171109_Rel.28679.bin,2017-11-09
M9Plus 2.0_en_1.2.10 Build 20190809 Rel. 54285_US_EU_JP_up.bin,2019-08-11
AP500_eu-up-ver1-0-0-P1[20180803-rel37033].bin,2018-08-03
re360v1_en-up-ver1-0-1-P1[20170907-rel63218].bin,2017-09-07
wpa4530v2_eu-up-ver2-0-0-P1-20161118-rel35656-APPLC.bin,2016-11-18
TL-MR3620v1_1.1.0_0.9.1_up_boot(170921)_2017-09-21_15.30.50.bin,2017-09-21
TL-EAP220v1_eu_2.0.2_[20161117-rel66703]_up_signed.bin,2016-11-17
wpa8630pv2_eu-up-ver2-0-3-P1-20171018-rel36564.bin,2017-10-19
NC220_1.1.14_Build_161219_Rel.28647_2016-12-19_10.29.05.bin,2016-12-19
NC230_1.0.3_Build_160108_Rel.26086.bin,2016-01-08
re305v3_eu-up-ver1-0-0-P1[20190123-rel41274].bin,2019-01-23
wa730re2_en_3_16_6_up_boot(130510).bin,2013-05-10
TL-MR3420v5_1.2.0_0.9.1_up_boot(170907)_2017-09-08_08.46.43.bin,2017-09-08
TL-EAP320v1_eu_1.1.2_[20170725-rel46935]_up_signed.bin,2017-07-25
E4R 1.0_en_1.0.1 Build 20190422 Rel. 72282_US_EU_AU_up.bin,2019-04-23
Pharos_2.0-up-ver2-1-0-P3[20170609-rel57434].bin,2017-06-09
MPS56_TPLINK_20170613.bin,2017-06-19
NC220_1.1.12_Build_160321_Rel.27531_upgrade.bin,2016-03-21
WBS210(UN)_2.0-up-ver2-2-1-P1[20190620-rel61524].bin,2019-06-21
EAP245v3_2.0.0_[20180601-rel52885]_up_signed.bin,2018-06-01
re350v1_en-up-ver1-0-0-P1[20190516-rel43695].bin,2019-05-16
LTE_GATEWAYv3_1.7.0_0.9.1_up_boot(181214)_2018-12-14_13.47.44.bin,2018-12-14
wa890eav1_en_3_15_1_up_boot(130415).bin,2013-04-18
NC200_2.1.7_Build_160315_Rel.27420.bin,2016-03-15
NC220_1.2.0_Build_170516_Rel.B4AC0D_2017-05-16_16.00.32.bin,2017-05-16
P7 1.0_en_1.1.1 Build 20180613 rel. 32725_EU_up.bin,2018-06-13
855rev4-up-ver1-0-0-P1[20180327-rel58676].bin,2018-03-27
850rev6-up-ver1-0-0-P1[20190422-rel52057].bin,2019-04-22
TX-VG1530V1_20131125_Rel60227_UP.bin,2013-11-26
wpa8630pv2_uk-up-ver2-1-0-P1-20171117-rel42724-APPLC.bin,2017-11-17
wpa4220v4_eu-up-ver4-0-1-P1-20180108-rel42511.bin,2018-01-08
TD-VG5612v1_0.9.1_2.9_up_boot(160704)_2016-07-04_20.16.31.bin,2016-07-04
wpa4530v2_eu-up-ver2-0-1-P1-20170406-rel62217.bin,2017-04-06
TD-W8980v1_0.6.0_1.7_up_boot(140619)_2014-06-19_14.30.19.bin,2014-06-19
TD-VG3631v1_0.6.0_1.0_up_boot(140925)_2014-09-25_14.29.06.bin,2014-09-25
TL-MR3420v5_1.3.0_0.9.1_up_boot(171208)_2017-12-08_17.09.42.bin,2017-12-08
COM_T01F001_LM.1.6.18P12_sign2_TPL.TL-SC4171G.bin,2012-08-30
COM_T01F101_MG.1.6.03P7_sign3_TPL.TL-SC3430.bin,2012-05-04
WPA281V3_EU_update_1.2.4_20140312.bin,2014-03-12
COM_T01F101_MG.1.6.03P7_sign3_TPL.TL-SC3430N.bin,2012-05-04
Pharos_2.0-up-ver2-1-6-P1[20170908-rel45233].bin,2017-09-08
re355_un-up-ver1-0-0-P1[20180204-rel61695].bin,2018-02-04
NC450_1.5.0_Build_181022_Rel.3A033D.bin,2018-10-22
NC200_2.1.7_Build_160315_Rel.27420_upgrade.bin,2016-03-15
TD-8840Tv4_0.8.0_3.3_up(140624).bin,2014-06-24
TouchP5v1(UN)_1.0_en_1.0.1 build 20151013Rel.35527_up.bin,2015-10-13
wpa8730v1_1_0_2_up(170407)-20170407.bin,2017-04-07
wa7210nv2_en_3_18_0_up_boot(131118).bin,2014-03-07
wa890eav1_en_3_15_1_up_boot(130819).bin,2013-08-19
re210v1_us_3_14_2_up_boot(171205).bin,2017-12-05
re365v1-up-ver1-0-3-P1[20190528-rel33960].bin,2019-05-28
wa730re2_en_3_16_1_up_boot(120928).bin,2012-09-28
RE590T_EU_V1-up-ver1-0-0-P1[20160125-rel57542].bin,2016-01-25
COM_T01F101_MG.1.6.03P8_sign3_TPL.TL-SC3430.bin,2012-09-04
P9 1.0_en_1.0.0 Build 20190422 Rel. 11219_US_EU_AU_JP_up.bin,2019-04-22
COM_T01F001_LM.1.6.18P9_TPL.TL-SC4171G.bin,2012-04-23
wpa4220v2_eu-up-ver2-0-1-P1-20170427-rel72105-APPLC.bin,2017-04-27
TD-W8970Bv1_0.6.0_2.7_up_boot(140624)_2014-06-24_17.37.09.bin,2014-06-24
re450v3_un-up-ver1-0-0-P1[20181204-rel67770].bin,2018-12-04
NC220_1.3.0_Build_180105_Rel.EA0CD2.bin,2018-01-05
TD-VG3511v1_0.6.0_1.0_up(130312).bin,2013-03-12
AP300_eu-up-ver1-0-0-P1[20180320-rel71286].bin,2018-03-20
TL-EAP330_1.2.0_[20170930-rel31933]_up_signed.bin,2017-09-30
EAP110-OUTDOORv3_3.1.0_[20180418-rel74801]_up_signed.bin,2018-04-18
wpa9610_eu-up-ver1-0-1-P1-20170615-rel64685.bin,2017-06-15
NC450_1.3.4_Build_171130_Rel.ECC739.bin,2017-11-30
wpa7510v2_eu-up-ver2-0-2-P1-20190610-rel50850.bin,2019-06-11
CPE220(UN)_3.0-up-ver2-2-1-P1[20190620-rel61512].bin,2019-06-21
wpa4220_13channel_v1.2.3_20130402_update.bin,2013-04-02
RE590T_UN_V1-up-ver1-0-0-P1[20171123-rel43977].bin,2017-11-23
wpa4220v4_eu-up-ver4-0-3-P1-20190326-rel43406-APPLC.bin,2019-03-26
wpa2220_update_13channel_EU_1.2.4_20130530.bin,2013-05-30
re300v1_eu-up-ver1-0-3-P1[20190222-rel39048].bin,2019-03-07
TL-MR3020v3_1.3.0_0.9.1_up_boot(180907)_2018-09-07_14.42.28.bin,2018-09-07
wpa7510v2_eu-up-ver2-0-0-P1-20180301-rel39287.bin,2018-03-01
NC260_1.4.1_Build_180720_Rel.B4B06B.bin,2018-07-23
re580d-up-ver1-0-0-P1[20171122-rel40291].bin,2017-11-22
EAP225v3_2.4.0_[20181121-rel55897]_up_signed.bin,2018-11-21
wa7210nv2_en_3_19_0_up_boot(140730).bin,2014-07-30
E4R 1.0_en_1.1.0 Build 20190823 Rel. 43466_US_EU_AU_JP_up.bin,2019-08-23
wpa8630v2_eu-up-ver2-0-2-P1-20171017-rel43480.bin,2017-10-17
M4R 1.0_en_1.0.6 Build 20181203 Rel. 38849_US_EU_AU_JP_up.bin,2018-12-03
860rev5-up-ver1-0-0-P1[20181108-rel57335].bin,2018-11-08
wa701nv2_en_3_16_6_up_boot(130528).bin,2013-05-28
TL-MR3420v5_1.4.0_0.9.1_up_boot(180712)_2018-07-12_17.25.46.bin,2018-07-12
NC260_1.4.0_Build_180522_Rel.8C991E.bin,2018-05-22
M3W 1.0_en_1.0.3 Build 20190419 Rel. 46871_US_EU_UK_JP_AU_RU_up.bin,2019-04-19
TL-EAP320v1_eu_1.4.0_[20180925-rel50612]_up_signed.bin,2018-09-25
850rev6-up-ver1-0-0-P1[20180503-rel53410].bin,2018-05-03
re300v1_eu-up-ver1-0-4-P1[20190429-rel39688].bin,2019-04-29
854rev3-up-ver1-0-0-P1[20190107-rel39009].bin,2019-01-07
850rev6-up-ver1-0-0-P1[20181108-rel56911].bin,2018-11-08
NC220_1.1.12_Build_160321_Rel.27531.bin,2016-03-21
TX-6610_V4_150922.bin,2015-09-22
TD-8840Tv4_0.8.0_2.4_up(141022)_2014-10-22_11.14.28.bin,2014-10-22
TD-8840Tv4_0.8.0_2.3_up(150917)_2015-09-18_09.14.43.bin,2015-09-18
CPE210(UN)_3.0-up-ver2-2-1-P1[20190620-rel61499].bin,2019-06-21
re580d-up-ver1-0-0-P1[20171220-rel57215].bin,2017-12-20
wa7510nv2_en_3_13_0_up_boot(140730).bin,2014-07-30
TL-EAP330v1_1.1.2_[20170711-rel51586]_up_signed.bin,2017-07-11
wpa4220v4_eu-up-ver4-0-2-P1-20180308-rel37064.bin,2018-03-08
wa701nv2_en_3_17_0_up_boot(140324).bin,2014-03-24
re205v2_eu-up-ver1-0-0-P1_20180815.bin,2018-08-15
TL-WA801NDv5_EU_0.9.1_3.16_up_boot[170905-rel59579].bin,2017-09-05
AP500_un-up-ver1-0-0-P1[20151124-rel61417].bin,2015-11-25
NC260_1.5.0_Build_181123_Rel.2ED5AD.bin,2018-11-23
TL-WA854RE(EU)_V3_181204.bin,2018-12-04
re355_eu-up-ver1-0-0-P1[20151117-rel58604].bin,2015-11-17
re360v1_en-up-ver1-0-0-P1[20170901-rel59441].bin,2017-09-01
NC250_1.0.8_Build_160108_Rel.26086.bin,2016-01-08
COM_T01F101_MG.1.6.03P8_sign3_TPL.TL-SC3430N.bin,2012-09-04
wpa7510v2_eu-up-ver2-0-1-P1-20190125-rel38797.bin,2019-01-25
re360v1_en-up-ver1-0-2-P1[20171226-rel33711].bin,2017-12-26
TL-EAP120v120_eu_2.0.2_[20161122-rel59492]_up_signed.bin,2016-11-22
wa901ndv5_eu_us_3_16_9_up_boot(160929).bin,2016-09-29
TL-EAP115-WALLv1_eu_1.2.0_[20180606-rel59540]_up_signed.bin,2018-06-06
re500v1_en-up-ver1-0-4-P1[20190521-rel51359].bin,2019-05-21
RE590T_UN_V1-up-ver1-0-0-P1[20150925-rel73265].bin,2015-09-25
NC210_1.0.4_Build_160412_Rel.27736.bin,2016-04-12
NC230_1.3.0_Build_171205_Rel.2310A2.bin,2017-12-05
re500v1_en-up-ver1-0-3-P1[20171219-rel72740].bin,2017-12-19
EAP115v4_3.1.0_[20180418-rel74210]_up_signed.bin,2018-04-18
TL-MR3020v3_1.2.0_0.9.1_up_boot(171206)_2017-12-07_09.58.55.bin,2017-12-07
re210v1_eu_3_14_2_up_boot(171206).bin,2017-12-06
COM_T01F001_LM.1.6.18P7_TPL.TL-SC4171G.bin,2011-11-23
NC200_2.1.6_Build_160108_Rel.25912.bin,2016-01-08
re650v1_en-up-ver1-0-7-P1[20190521-rel52591].bin,2019-05-21
TL-EAP320v2_eu_1.2.0_[20170930-rel34073]_up_signed.bin,2017-09-30
re210v1_eu_3_14_2_up_boot(160623).bin,2016-06-23
P7 1.0_en_1.2.0 Build 20181210 rel. 34913_EU_US_up.bin,2018-12-10
EAP225v3_2.3.0_[20180628-rel54512]_up_signed.bin,2018-07-03
NC250_1.0.10_Build_160321_Rel.27531.bin,2016-03-21
wpa8730v1_1_0_1_up(160606).bin,2016-06-06
CPE610(UN)_2.0-up-ver2-2-1-P1[20190812-rel33034].bin,2019-08-12
re650v1_en-up-ver1-0-6-P1[20171228-rel42160].bin,2017-12-28
re650v1_en-up-ver1-0-6-P1[20180719-rel36926].bin,2018-07-19
EAP245v3_2.2.0_[20190530-rel56122]_up_signed.bin,2019-05-30
CAP1200v1_1.0.2_[20181012-rel49793]_up_signed.bin,2018-10-12
EAP225-WALLv2_1.2.0_[20190222-rel34350]_up_signed.bin,2019-02-22
EAP110v4_3.2.0_[20181211-rel51131]_up_signed.bin,2018-12-11
EAP110-OUTDOORv3_3.3.0_[20190301-rel37118]_up_signed.bin,2019-03-01
TD-W8970Bv1_0.6.0_2.8_up_boot(140930)_2014-09-30_14.44.25.bin,2014-09-30
AC50v1_un_1.0.3_20180524-rel54341_up.bin,2018-05-24
WBS210(UN)_2.0-up-ver2-1-12-P1[20180202-rel58819].bin,2018-02-02
CPE520(UN)_2.0-up-ver2-1-11-P1[20180117-rel68885].bin,2018-01-17
EAP110v4_3.3.0_[20190301-rel39365]_up_signed.bin,2019-03-01
TD-VG3631v1_0.6.0_1.1_up_boot(150505)_2015-05-05_11.19.03.bin,2015-05-05
M5350v2_1.0.4_170413_Rel.32710n.bin,2017-04-17
EAP225v3_2.5.0_[20190404-rel57144]_up_signed.bin,2019-04-04
CAP1750v1_1.1.1_[20171227-rel43512]_up_signed.bin,2017-12-27
TD-W9970(EU)_V3.0_190419.bin,2019-04-19
AD7200v2-up-ver2-0-1-P1[20170103-rel71053]_2017-01-04_10.08.28.bin,2017-01-04
CAP1200v1_1.0.0_20170801-rel61314_up.bin,2017-08-01
WBS210(UN)_2.0-up-ver2-2-0-P1[20190228-rel37156].bin,2019-02-28
EAP225-WALLv2_1.1.0_[20181122-rel42616]_up_signed.bin,2018-11-22
TD-W8970v3_0.9.1_2.0_up_boot(160816)_2016-08-16_10.40.57.bin,2016-08-16
CPE220(UN)_3.0-up-ver2-1-14-P1[20180928-rel35869].bin,2018-09-28
CPE510(UN)_3.0-up-ver2-2-0-P9[20190125-rel36276].bin,2019-02-28
TL-EAP120v120_eu_2.0.3_[20170113-rel55696]_up_signed.bin,2017-01-13
TouchP5v1(UN)_1.0_en_1.0.0 build 20150709Rel.52822_up.bin,2015-07-09
AC500v1_un_1.0.4_20190516-rel55297_up.bin,2019-05-16
CPE220(UN)_3.0-up-ver2-2-0-P1[20190228-rel34553].bin,2019-02-28
CAP300-OUTDOORv1_1.1.0_[20170601-rel60212]_up_signed.bin,2017-06-01
TD-W8980v1_0.6.0_1.7_up_boot(140919)_2014-09-19_15.09.20.bin,2014-09-19
FlashImage_2868B_TP-Link_UoIP_Server_2_066_000_20130823_T0209-UtilityUpgrade.bin,2013-08-27
AC500v1_un_1.0.3_20180730-rel36462_up.bin,2018-07-30
CPE210(UN)_3.0-up-ver2-1-14-P1[20180928-rel34146].bin,2018-09-28
CPE510(UN)_3.0-up-ver2-1-11-P1[20171228-rel72837].bin,2017-12-28
CPE210(UN)_3.0-up-ver2-2-0-P9[20190125-rel36261].bin,2019-01-25
TD-W8980Bv1_0.6.0_1.5_up_boot(150512)_2015-05-12_11.44.50.bin,2015-05-12
CAP300v1_1.1.1_[20171225-rel42034]_up_signed.bin,2017-12-25
EAP225-OUTDOORv1_1.5.0_[20190404-rel58086]_up_signed.bin,2019-04-04
CAP300-OUTDOORv1_1.1.1_[20171226-rel31074]_up_signed.bin,2017-12-26
CAP1200v1_1.0.1_[20180124-rel64713]_up_signed.bin,2018-01-24
854rev3-up-ver1-0-0-P1[20190801-rel39534].bin,2019-08-01
CPE510(UN)_3.0-up-ver2-2-0-P9[20190125-rel36276].bin,2019-01-25
EAP115v4_3.3.0_[20190301-rel37101]_up_signed.bin,2019-03-01
CAP300v1_1.1.2_[20180730-rel37369]_up_signed.bin,2018-07-30
CAP1750v1_1.1.2_[20180910-rel68147]_up_signed.bin,2018-09-10
TD-W8970Bv1_0.6.0_2.9_up_boot(150526)_2015-05-26_15.55.38.bin,2015-05-26
CPE610(UN)_2.0-up-ver2-2-0-P1[20190228-rel32798].bin,2019-02-28
M9Plus 2.0_en_1.2.9 Build 20190801 Rel. 80058_US_EU_JP_up.bin,2019-08-01
820re-up-ver1-0-0-P1[20170120-rel41537].bin,2017-01-20
CAP300-OUTDOORv1_1.1.2_[20180919-rel37505]_up.bin,2018-09-19
TD-W8980Bv1_0.6.0_1.5_up_boot(141110)_2014-11-10_15.06.45.bin,2014-11-10
OC200v1_un_1.0.3_20181016_rel33052_up.bin,2018-10-16
EAP115v4_3.2.0_[20181211-rel51136]_up_signed.bin,2018-12-11
TD-W9960V1_1.0.0_0.8.0_up_boot(181115)_2018-11-15_17.15.53.bin,2018-11-15
WBS510(UN)_2.0-up-ver2-2-0-P1[20190228-rel32821].bin,2019-02-28
TL-EAP220v1_eu_2.0.3_[20170113-rel55505]_up_signed.bin,2017-01-13
EAP225-WALLv2_1.1.0_[20181122-rel42616]_up_signed.bin,2018-11-22
860rev5-up-ver1-0-0-P1[20190801-rel41678].bin,2019-08-01
WBS510(UN)_2.0-up-ver2-1-12-P1[20180202-rel58819].bin,2018-02-02
EAP110-OUTDOORv3_3.2.0_[20181113-rel45897]_up_signed.bin,2018-11-13
CPE605(UN)_1.0-up-ver2-1-15-P3[20190131-rel64402].bin,2019-01-31
TD-W9977v1_0.1.0_0.9.1_up_boot(161123)_2016-11-23_15.36.15.bin,2016-11-23
EAP225-OUTDOORv1_1.4.1_[20181107-rel35628]_up_signed.bin,2018-11-07
EAP245v3_2.1.0_[20181107-rel39421]_up_signed.bin,2018-11-07
WPA2220_EU_update_1.2.4_20140312.bin,2014-03-12
TL-WA801NDv5_EU_0.9.1_3.16_up_boot[170215-rel52643].bin,2017-02-15
AC500v1_un_1.0.2_20171212-rel39651_up.bin,2017-12-12
TL-EAP115-WALLv1_eu_1.3.0_[20181211-rel53416]_up_signed.bin,2018-12-11
M5350(UN)2.0_1_0_1(140115)_new.bin,2015-05-07
AC50v1_un_1.0.4_20190527-rel67240_up.bin,2019-05-27
AC50v1_un_1.0.2_20171129-rel59970_up.bin,2017-11-29
TL-EAP115-WALLv1_eu_1.4.0_[20190216-rel60523]_up_signed.bin,2019-02-16
OC200v1_un_1.1.1_20190419_rel43063_up.bin,2019-04-19
TD-W8970v3_0.9.1_1.2_up_boot(150427)_2015-04-27_17.48.51.bin,2015-04-27
820re-up-ver1-0-0-P1[20170208-rel55092].bin,2017-02-08
re580d-up-ver1-0-0-P1[20160309-rel58411].bin,2016-03-09
TD-W8980v1_0.6.0_1.8_up_boot(150514)_2015-05-14_11.16.43.bin,2015-05-14
