DIR100A1_FW114CNB01.bix,2013-10-17
DIR100A1_FW114EUB01.bix,2013-10-17
DIR100A1_FW114FRB01.bix,2013-10-17
DIR100A1_FW114GEB01.bix,2013-10-17
DIR100A1_FW114KRB01.bix,2013-10-17
DIR100A1_FW114TWB01.bix,2013-10-17
DIR100A1_FW114WWB01.bix,2013-10-17
DIR100A1_FW114CNB02.bix,2013-12-02
DIR100A1_FW114EUB02.bix,2013-12-02
DIR100A1_FW114FRB02.bix,2013-12-02
DIR100A1_FW114GEB02.bix,2013-12-02
DIR100A1_FW114KRB02.bix,2013-12-02
DIR100A1_FW114TWB02.bix,2013-12-02
DIR100A1_FW114WWB02.bix,2013-12-02
DIR120A1_FW105RUB01.bix,2013-10-17
DIR120A1_FW105WWB01.bix,2013-10-17
DIR120A1_FW105RUB02.bix,2013-12-02
DIR120A1_FW105WWB02.bix,2013-12-02
DIR1360A1_FW102B03.bin,2019-09-05
DIR1960A1_FW102B01.bin,2019-09-04
DIR2680Ax_FW100B26.bin,2020-02-01
DIR2680Ax_FW102B02.bin,2019-02-12
DIR2680Ax_FW103B01.bin,2019-03-16
DIR300A1_FW106WWb05.bin,2013-12-04
3001_DIR300A1_FW106WWb05.bin,2018-06-08
dir300b_v2.06_f4la.bin,2015-04-24
DIR300B5_FW214WWB04.bin,2018-06-08
DIR3060A1_FW101B07.bin,2019-09-04
dir505_fw_101.bin,2012-04-10
dir505_fw_102.bin,2012-05-10
dir505_fw_103.bin,2012-07-11
dir505_fw_105.bin,2012-10-26
dir505_fw_106.bin,2013-01-24
FW v1.07_v1.07b09.bin,2013-09-06
DIR505A1_FW108B10.bin,2014-05-17
8D17A3AB2BFABB3_DIR505A1_FW109B02.bin,2014-07-31
DIR-505_A1_FW110B02.bin,2014-12-30
dir505L_fw_101.bin,2012-10-26
DIR505L_REVA1_FW103B07.bin,2014-11-03
FW v2.13_v2.13b01.bin,2013-02-07
DIR-506L_Reva_v2.15b02.bin,2017-07-11
DIR510LA1_FW102b04.bin,2014-01-29
DIR-510L_A1_FIRMWARE_1.03.B03.bin,2014-04-11
DIR510LA1_FW104b01.bin,2014-06-26
DIR-510L_REVA1_FW105b10.bin,2015-04-13
DIR-510L_A1_FW106b02.bin,2015-08-12
DIR-510LAx_FW1.07b02.bin,2017-07-11
dir601_firmware_101NA.bin,2010-01-29
dir601_FW_102NA.bin,2010-12-29
DIR-601_REVA1_FW_v1.04b02.bin,2013-11-08
dir601_revB_FW_201.bin,2012-11-16
DIR-601_B1_FW_202Beta01B01.bin,2018-06-08
DIR601B1_FW202NAb01.bin,2018-07-14
dir605L_FW_113.bin,2012-06-12
FW1.14_V1.14.bin,2013-03-20
DIR-605L_A1_FW116WWb03.bin,2016-01-04
DIR605LA1_FW115CNB01.bin,2015-05-11
