TL-WR941HPv2_un_up-2-0-1-20171225rel60160.bin,2017-12-25
C1200v2_eu-up-2.0.2 Build 20180118 rel.38979.bin,2018-01-18
ArcherC59v2_eu-up-ver2-0-0-P1[20161206-rel51607].bin,2016-12-06
ArcherC6v2_eu-up-ver1-1-0-P1[20190115-rel71848].bin,2019-01-15
wdr4900nv1_tether_en_3_14_7_up_boot(130424).bin,2013-04-24
Archer A9(EU)_V6.0_181114.bin,2018-11-14
TL-WR802Nv4_EU_0.9.1_3.16_up_boot[170421-rel74156].bin,2017-04-21
c7v5_us-eu-ca-jp-tw-up-ver1-0-4-P1[20180425-rel72768].bin,2018-04-25
wr720nv2-en-up.bin,2014-11-18
ArcherC5400v2.0_eu_1.0.9 build 20170406Rel.53986_up.bin,2017-04-06
Archer_D7v1_1.6.0_0.9.1_up_boot(160216)_2016-02-16_15.55.48.bin,2016-02-16
wr940nv6_eu_3_19_1_up_boot(180119).bin,2018-01-19
C1200v2_eu-up-2.0.0 Build 20170206 rel.46023.bin,2017-02-06
wr820rv1-eu-up_2019-05-06_10.21.24.bin,2019-05-06
TL-WR841HPv5_UN_0.9.1_2.0_up_boot[180402-rel74013].bin,2018-04-02
TL-R480T+v9_un_9.0.2_20180926-rel34538_up.bin,2018-09-26
TL-WR841HPv5_UN_0.9.1_1.0_up_boot[170906-rel34654].bin,2017-09-06
ArcherC58HPv1_un-up-ver1-0-1-P1[20180717-rel74530]_2018-07-18_08.49.39.bin,2018-07-18
Archer_C3200v1_0.9.1_0.1_up_boot(160712)_2016-07-12_15.24.12.bin,2016-07-12
Archer_C3150(EU)_V2_170807.bin,2017-08-07
Archer_C50v4_EU_0.9.1_0.2_up_boot[180313-rel54477].bin,2018-03-13
wr820rv1-ru-up_2019-04-22_10.33.23.bin,2019-04-22
Archer_C3150(EU)_V2_170421.bin,2017-04-21
TL-R470T+v6_un_6.0.3_20180731-rel56894_up.bin,2018-07-31
Archer C5400X(EU)_V1_180327.bin,2018-03-27
Archer C7(EU)_V5_190726.bin,2019-07-26
TL-R600VPNv4_un_4.0.3_20190227-rel48206_up.bin,2019-02-27
r402mv7-3_8_1_up(101104).bin,2010-11-04
Archer C60(EU)_V3.0_190115.bin,2019-01-15
Archer_D9v1_0.9.1_0.1_up_boot(150313)_2015-03-13_13.55.24.bin,2015-03-14
Archer A7(US EU)_V5_181210.bin,2018-12-10
Archer_VR400V2_0.2.0_0.9.1_up_boot(170719)_2017-07-19_17.29.20.bin,2017-07-20
Archer C20iv1_0.9.1_3.1_up_boot(150512)_2015-05-12_14.07.08.bin,2015-05-12
TL-R470T+v6_un_6.0.1_20180108-rel57022_up.bin,2018-01-08
Archer_C20iv1_0.9.1_3.2_up_boot(170221)_2017-02-21_17.14.03.bin,2017-02-21
r460v5_en_4_8_11_up(120704).bin,2012-07-04
C1200v2_eu-up-2.0.1 Build 20180108 rel.37342.bin,2018-01-08
TL-WR845Nv4_UN_0.9.1_3.16_up_boot[180319-rel67391].bin,2018-03-19
wr940nv6_eu_3_18_1_up_boot(170922).bin,2017-09-22
wr841nv11_wr841ndv11_en_3_16_9_up_boot(150616).bin,2015-06-16
a7v5_us-eu-up-ver1-0-9-P1[20190403-rel72961].bin,2019-04-03
Archer_VR2600v1_1.4.0_0.8.0_up_boot(160518)_2016-05-18_14.20.31.bin,2016-05-18
r860v1_en_4_3_3_up(100519).bin,2010-05-19
Archer_D5v2_0.2.0_0.9.1_up_boot(160229)_2016-02-29_16.43.09.bin,2016-02-29
TL-WR802Nv4_EU_0.9.1_3.17_up_boot[190428-rel63523].bin,2019-04-28
c7v5_us-eu-ca-jp-tw-up-ver1-0-3-P1[20180308-rel59943].bin,2018-03-08
TL-ER5120v4_un_4.0.1_20180706-rel58151_up.bin,2018-07-06
TL-ER6020v2_un_2.0.1_20180211-rel61851_up.bin,2018-02-11
Archer_VR2800V1_0.3.0_0.9.1_up_boot(170809)_2017-08-09_11.47.53.bin,2017-08-09
TL-R600VPNv4_un_4.0.2_20180126-rel54530_up.bin,2018-01-26
Archer_D5v2_0.3.0_0.9.1_up_boot(160517)_2016-05-17_16.52.57.bin,2016-05-17
TL-WR841Nv14_EU_0.9.1_4.16_up_boot[180319-rel57291].bin,2018-03-19
ArcherC2600v1_UN-up-ver1-1-8-P1[20170306-rel44838].bin,2017-03-06
Archer C3150(EU)_V2_170927.bin,2017-09-27
LTE_GATEWAYv3_1.9.0_0.9.1_up_boot(190307)_2019-03-07_15.29.34.bin,2019-03-07
TL-ER604W(UN)v2_en_eu_1.2.0_[20160825-rel45880]_up.bin,2016-08-25
TLWR941HPv2_un-up-ver2-0-0-P1[20170602-rel78300]_2017-06-03_04.56.13.bin,2017-06-03
LTE_GATEWAYv3_1.7.0_0.9.1_up_boot(181214)_2018-12-14_13.47.44.bin,2018-12-14
Archer_D2v1_1.4.0_0.8.0_up_boot(160216)_2016-02-16_15.44.20.bin,2016-02-16
wdr4900nv1_en_3_14_3_up_boot(130320).bin,2013-03-20
TL-ER6120v3_un_3.0.1_20180724-rel80086_up.bin,2018-07-25
ArcherC5400(EU)2.0_en_1.0.5 build 20160927Rel.53959_up.bin,2016-09-27
Archer_VR2800v1_0.2.0_0.9.1_up_boot(170110)_2017-01-10_09.39.11.bin,2017-01-10
Archer_VR600V2_0.2.0_0.9.1_up_boot(170504)_2017-05-04_18.46.12.bin,2017-05-04
Archer C5400X(EU JP US)_V1_180904.bin,2018-09-04
Archer_D9v1_0.9.1_0.1_up_boot(150826)_2015-08-26_11.47.46.bin,2015-08-26
Archer_A5v4_EU_0.9.1_0.2_up_boot[180313-rel54477].bin,2018-03-13
wr740nv5_wr741ndv5_en_3_16_9_up_boot(150312).bin,2015-03-24
wr710nv2_fs_uk_8M_3_16_12_up_boot(150507).bin,2015-05-07
TL-R480T+v9_un_9.0.0_20170517-rel31097_up.bin,2017-05-17
LTE_GATEWAYv3_1.9.0_0.9.1_up_boot(190307)_2019-03-07_14.20.35.bin,2019-03-07
Archer C4000(US)_V3_190609.bin,2019-06-10
Archer AX6000(EU)_V1_190701.bin,2019-07-01
Archer_VR2600v1_1.3.0_0.8.0_up_boot(160330)_2016-03-30_11.18.24.bin,2016-03-30
wr820rv1-eu-up_2018-08-17_20.17.18.bin,2018-08-17
ax6000v1_eu_20190822.bin,2019-08-22
archer_c5v2_en-up-ver3-17-1-P1[20150908-rel40831].bin,2015-09-08
Archer_D7v1_0.9.1_1.1_up_boot(150824)_2015-08-24_11.34.20.bin,2015-08-24
TL-WR802Nv4_EU_0.9.1_3.17_up_boot[190218-rel36066].bin,2019-02-18
Archer_VR400V2_0.1.0_0.9.1_up_boot(170224)_2017-02-24_09.38.26.bin,2017-02-24
c9v5_eu-us-jp_up_1-2-2-20180423rel85787.bin,2018-04-23
TL-WR902ACv3_EU_0.9.1_0.1_up_boot[170717-rel42170].bin,2017-07-17
wr945nv1_eu_3_16_9_up_boot(161028).bin,2016-10-28
TL-R600VPNv4_un_4.0.3_20180530-rel63202_up.bin,2018-05-30
TL-WR841Nv14_EU_0.9.1_4.16_up_boot[171208-rel59714].bin,2017-12-08
Archer A7(EU)_V5_190811.bin,2019-08-10
C2600-UN-up-ver1-1-2-P1[20150924-rel66045].bin,2015-09-24
Archer_VR2800vV1_1.1.0_0.9.1_up_boot(170502)_2017-05-02_20.12.23.bin,2017-05-02
Archer C5400(EU)_V2_170912.bin,2017-09-12
