T2600G-28TSv4_en_4.0.0_[20181010-rel45384]_up.bin,2018-10-10
TL-SL2218v1_en_1.0.2_[20150413-rel63343]_up.bin,2015-04-13
TL-SG3216v2_en_1.0.0_[20140630-rel33944]_up.bin,2014-06-30
TL-SL5428Ev3_en_1.1.1_[20150616-rel56586]_up.bin,2015-06-16
TL-SL2428v1_en_1.0.2_[20150414-rel32084]_up.bin,2015-04-14
TL-SL3428v3_en_1.0.3_[20140430-rel40858]_up.bin,2014-04-30
TL-SG1016DEv3_en_1.0.1_[20180416-rel55822]_up.bin,2018-04-16
T2600G-18TSv2_en_2.0.3_[20190516-rel33426]_up.bin,2019-05-16
TL-SG116Ev1_en_1.0.0_[20180518-rel59399]_up.bin,2018-05-18
T1500G-10PSv2_en_2.0.3_[20190509-rel36379]_up.bin,2019-05-09
TL-SG2424Pv1_en_1.0.9_[20150827-rel37324]_up.bin,2015-08-27
TL-SL3428_en_3.0_1.0.2_up(20130925).bin,2013-09-25
TL-SG3216v2_en_1.0.2_[20150714-rel61832]_up.bin,2015-07-14
T1500-28PCTv3_en_3.0.0_[20180530-rel45800]_up.bin,2018-05-30
TL-SG2216v2_en_1.0.1_[20150114-rel56394]_up.bin,2015-01-14
T1600G-18TSv2_en_2.0.0_[20190408-rel31884]_up.bin,2019-04-08
TL-SL3452v2_en_1.0.2_[20170216-rel39432]_up.bin,2017-02-16
sysSG2224WEB-up.bin,2008-04-09
TL-SG108PEv2_en_1.0.0_[20180326-rel61189]_up.bin,2018-03-26
TL-SG108PEv2_en_1.0.0_[20180122-rel33333]_up.bin,2018-01-22
TL-SG3424v2_en_1.0.1_[20150205-rel69821]_up.bin,2015-02-05
sysSL2428WEB.bin,2007-03-19
TL-SG2452_en_1.0_1.0.1_up(20131205).bin,2013-12-05
TL-SL3428 3.0_UN_0_8_3_up(20120314).bin,2012-03-09
TL-SG2216_en_2.0_1.0.2_[20150602-rel38667]_up.bin,2015-06-02
TL-SG5412F_en_1.0_1.0.3_up(20130924).bin,2013-09-24
TL-SG105Ev4_en_1.0.0_[20171228-rel72769]_up.bin,2017-12-28
TL-SG1024DEv3_en_1.0.1_[20170530-rel39402]_up.bin,2017-05-30
